@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute action {0,1,2,3,4,5}

@data
1612,'2019/02/20 21:32:41:517',6,0.502429,0.516568,5
1613,'2019/02/20 21:32:41:529',6,0.502449,0.514234,5
1614,'2019/02/20 21:32:41:539',6,0.502449,0.514234,5
1615,'2019/02/20 21:32:41:550',6,0.503098,0.519299,5
1616,'2019/02/20 21:32:41:561',6,0.503098,0.519299,5
1617,'2019/02/20 21:32:41:572',6,0.503123,0.516635,5
1618,'2019/02/20 21:32:41:583',6,0.503123,0.516635,5
1619,'2019/02/20 21:32:41:594',6,0.502449,0.514234,5
1620,'2019/02/20 21:32:41:604',6,0.502449,0.514234,5
1621,'2019/02/20 21:32:41:615',6,0.502429,0.516568,5
1622,'2019/02/20 21:32:41:627',6,0.502449,0.514234,5
1623,'2019/02/20 21:32:41:637',6,0.502449,0.514234,5
1624,'2019/02/20 21:32:41:649',6,0.502449,0.514234,5
1625,'2019/02/20 21:32:41:659',6,0.502449,0.514234,5
1626,'2019/02/20 21:32:41:671',6,0.503148,0.514297,5
1627,'2019/02/20 21:32:41:684',6,0.503148,0.514297,5
1628,'2019/02/20 21:32:41:695',6,0.502429,0.516568,5
1629,'2019/02/20 21:32:41:707',6,0.502449,0.514234,5
1630,'2019/02/20 21:32:41:717',6,0.502449,0.514234,5
1631,'2019/02/20 21:32:41:728',6,0.502491,0.510401,5
1632,'2019/02/20 21:32:41:739',6,0.502491,0.510401,5
1633,'2019/02/20 21:32:41:750',6,0.502449,0.514234,5
1634,'2019/02/20 21:32:41:761',6,0.502449,0.514234,5
1635,'2019/02/20 21:32:41:772',6,0.502512,0.508841,5
1636,'2019/02/20 21:32:41:782',6,0.502512,0.508841,5
1637,'2019/02/20 21:32:41:794',6,0.502491,0.510401,5
1638,'2019/02/20 21:32:41:805',6,0.502449,0.514234,5
1639,'2019/02/20 21:32:41:816',6,0.502449,0.514234,5
1640,'2019/02/20 21:32:41:827',6,0.50247,0.512189,5
1641,'2019/02/20 21:32:41:837',6,0.50247,0.512189,5
1642,'2019/02/20 21:32:41:849',6,0.502491,0.510401,5
1643,'2019/02/20 21:32:41:859',6,0.502491,0.510401,5
1644,'2019/02/20 21:32:41:871',6,0.501817,0.508788,5
1645,'2019/02/20 21:32:41:881',6,0.501817,0.508788,5
1646,'2019/02/20 21:32:41:893',6,0.501817,0.508788,5
1647,'2019/02/20 21:32:41:903',6,0.502512,0.508841,5
1648,'2019/02/20 21:32:41:914',6,0.502512,0.508841,5
1649,'2019/02/20 21:32:41:925',6,0.502491,0.510401,5
1650,'2019/02/20 21:32:41:936',6,0.502491,0.510401,5
1651,'2019/02/20 21:32:41:947',6,0.502491,0.510401,5
1652,'2019/02/20 21:32:41:958',6,0.502491,0.510401,5
1653,'2019/02/20 21:32:41:969',6,0.502512,0.508841,5
1654,'2019/02/20 21:32:41:979',6,0.502512,0.508841,5
1655,'2019/02/20 21:32:41:991',6,0.503198,0.510457,5
1656,'2019/02/20 21:32:42:004',6,0.503198,0.510457,5
1657,'2019/02/20 21:32:42:015',6,0.502512,0.508841,5
1658,'2019/02/20 21:32:42:027',6,0.502576,0.50529,5
1659,'2019/02/20 21:32:42:037',6,0.502576,0.50529,5
1660,'2019/02/20 21:32:42:049',6,0.503249,0.507535,5
1661,'2019/02/20 21:32:42:059',6,0.503249,0.507535,5
1662,'2019/02/20 21:32:42:071',6,0.503249,0.507535,5
1663,'2019/02/20 21:32:42:081',6,0.503249,0.507535,5
1664,'2019/02/20 21:32:42:092',6,0.502533,0.507484,5
1665,'2019/02/20 21:32:42:104',6,0.502512,0.508841,5
1666,'2019/02/20 21:32:42:114',6,0.502512,0.508841,5
1667,'2019/02/20 21:32:42:125',6,0.500497,0.502892,5
1668,'2019/02/20 21:32:42:136',6,0.500497,0.502892,5
1669,'2019/02/20 21:32:42:147',6,0.502576,0.50529,5
1670,'2019/02/20 21:32:42:158',6,0.502576,0.50529,5
1671,'2019/02/20 21:32:42:169',6,0.503325,0.504461,5
1672,'2019/02/20 21:32:42:179',6,0.503325,0.504461,5
1673,'2019/02/20 21:32:42:190',6,0.502597,0.504415,5
1674,'2019/02/20 21:32:42:202',6,0.502555,0.506307,5
1675,'2019/02/20 21:32:42:213',6,0.502555,0.506307,5
1676,'2019/02/20 21:32:42:224',6,0.502597,0.504415,5
1677,'2019/02/20 21:32:42:234',6,0.502597,0.504415,5
1678,'2019/02/20 21:32:42:246',6,0.503274,0.506356,5
1679,'2019/02/20 21:32:42:256',6,0.503274,0.506356,5
1680,'2019/02/20 21:32:42:267',6,0.501194,0.503575,5
1681,'2019/02/20 21:32:42:278',6,0.501194,0.503575,5
1682,'2019/02/20 21:32:42:289',6,0.500497,0.502892,5
1683,'2019/02/20 21:32:42:300',6,0.500497,0.502892,5
1684,'2019/02/20 21:32:42:311',6,0.500504,0.502347,5
1685,'2019/02/20 21:32:42:322',6,0.501918,0.502978,5
1686,'2019/02/20 21:32:42:336',6,0.501918,0.502978,5
1687,'2019/02/20 21:32:42:347',6,0.501194,0.503575,5
1688,'2019/02/20 21:32:42:357',6,0.501194,0.503575,5
1689,'2019/02/20 21:32:42:369',6,0.500497,0.502892,5
1690,'2019/02/20 21:32:42:380',6,0.500497,0.502892,5
1691,'2019/02/20 21:32:42:391',6,0.500497,0.502892,5
1692,'2019/02/20 21:32:42:402',6,0.500489,0.503531,5
1693,'2019/02/20 21:32:42:412',6,0.500489,0.503531,5
1694,'2019/02/20 21:32:42:424',6,0.500497,0.502892,5
1695,'2019/02/20 21:32:42:434',6,0.500497,0.502892,5
1696,'2019/02/20 21:32:42:446',6,0.501194,0.503575,5
1697,'2019/02/20 21:32:42:456',6,0.501194,0.503575,5
1698,'2019/02/20 21:32:42:467',6,0.500489,0.503531,5
1699,'2019/02/20 21:32:42:478',6,0.500489,0.503531,5
1700,'2019/02/20 21:32:42:489',6,0.49906,0.504188,5
1701,'2019/02/20 21:32:42:500',6,0.498308,0.502765,5
1702,'2019/02/20 21:32:42:511',6,0.498308,0.502765,5
1703,'2019/02/20 21:32:42:522',6,0.498308,0.502765,5
1704,'2019/02/20 21:32:42:533',6,0.498308,0.502765,5
1705,'2019/02/20 21:32:42:544',6,0.496715,0.502682,5
1706,'2019/02/20 21:32:42:554',6,0.496715,0.502682,5
1707,'2019/02/20 21:32:42:566',6,0.495902,0.504013,5
1708,'2019/02/20 21:32:42:576',6,0.495902,0.504013,5
1709,'2019/02/20 21:32:42:590',6,0.496794,0.505927,5
1710,'2019/02/20 21:32:42:599',6,0.496774,0.504922,5
1711,'2019/02/20 21:32:42:609',6,0.496774,0.504922,5
1712,'2019/02/20 21:32:42:621',6,0.495955,0.505881,5
1713,'2019/02/20 21:32:42:631',6,0.495955,0.505881,5
1714,'2019/02/20 21:32:42:643',6,0.494003,0.503927,5
1715,'2019/02/20 21:32:42:653',6,0.494003,0.503927,5
1716,'2019/02/20 21:32:42:667',6,0.491751,0.503843,5
1717,'2019/02/20 21:32:42:679',6,0.489012,0.50376,5
1718,'2019/02/20 21:32:42:689',6,0.489012,0.50376,5
1719,'2019/02/20 21:32:42:701',6,0.489099,0.504618,5
1720,'2019/02/20 21:32:42:711',6,0.489099,0.504618,5
1721,'2019/02/20 21:32:42:723',6,0.491875,0.505702,5
1722,'2019/02/20 21:32:42:733',6,0.491875,0.505702,5
1723,'2019/02/20 21:32:42:745',6,0.493032,0.505746,5
1724,'2019/02/20 21:32:42:755',6,0.493032,0.505746,5
1725,'2019/02/20 21:32:42:766',6,0.49298,0.504746,5
1726,'2019/02/20 21:32:42:778',6,0.49298,0.504746,5
1727,'2019/02/20 21:32:42:788',6,0.49298,0.504746,5
1728,'2019/02/20 21:32:42:800',6,0.49298,0.504746,5
1729,'2019/02/20 21:32:42:810',6,0.49298,0.504746,5
1730,'2019/02/20 21:32:42:822',6,0.49298,0.504746,5
1731,'2019/02/20 21:32:42:832',6,0.49298,0.504746,5
1732,'2019/02/20 21:32:42:843',6,0.495023,0.504833,5
1733,'2019/02/20 21:32:42:854',6,0.495023,0.504833,5
1734,'2019/02/20 21:32:42:866',6,0.496794,0.505927,5
1735,'2019/02/20 21:32:42:875',6,0.496794,0.505927,5
1736,'2019/02/20 21:32:42:887',6,0.496774,0.504922,5
1737,'2019/02/20 21:32:42:898',6,0.495955,0.505881,5
1738,'2019/02/20 21:32:42:909',6,0.495955,0.505881,5
1739,'2019/02/20 21:32:42:920',6,0.496774,0.504922,5
1740,'2019/02/20 21:32:42:930',6,0.496774,0.504922,5
1741,'2019/02/20 21:32:42:942',6,0.497572,0.504967,5
